,time,Vmag,Verr
0,1983.1646594520544,0.577,0.024
1,1983.1867693150684,0.604,0.033
2,1984.229877595628,0.644,0.011000000000000001
3,1986.9921131506856,0.5,0.003
4,1987.065950684932,0.478,0.005
5,1987.0959797260275,0.444,0.006
6,1987.1260438356167,0.455,0.001
7,1987.2000399999997,0.372,0.009000000000000001
8,1987.222123835616,0.385,0.004
9,1987.2247298630134,0.346,0.018000000000000002
10,1987.23848109589,0.37,0.002
11,1987.2741463013695,0.314,0.015
12,1988.0632133879776,0.607,0.001
13,1988.10159125683,0.536,0.004
14,1988.117858743169,0.519,0.006
15,1988.1945715846998,0.431,0.005
16,1988.21355,0.413,0.006
17,1988.2335756830603,0.388,0.021
18,1988.2491461748634,0.383,0.033
19,1988.2791344262291,0.349,0.015
20,1989.0334361643836,0.91,0.003
21,1989.0664504109589,0.904,0.004
22,1989.1129383561647,0.952,0.001
23,1989.1429827397255,0.984,0.001
24,1989.1705068493147,0.98,0.005
25,1989.2032610958902,0.94,0.004
26,1989.2415315068492,0.924,0.009000000000000001
27,1989.2661764383558,0.909,0.002
28,1989.9217465753425,0.85,0.004
29,1989.9763452054792,0.728,0.001
30,1989.9983827397266,0.707,0.003
31,1990.0171531506853,0.658,0.002
32,1990.0529528767127,0.671,0.004
33,1990.0639041095897,0.661,0.008
34,1990.0688298630132,0.644,0.002
35,1990.079582739726,0.638,0.006999999999999999
36,1990.082390958904,0.64,0.001
37,1990.104210958904,0.64,0.001
38,1990.10434109589,0.641,0.003
39,1990.1101446575344,0.6,0.004
40,1990.112479178082,0.629,0.004
41,1990.1126402739728,0.634,0.001
42,1990.115121643836,0.632,0.002
43,1990.1152364383565,0.629,0.003
44,1990.1264287671227,0.609,0.002
45,1990.129113972603,0.622,0.005
46,1990.1453120547947,0.611,0.005
47,1990.1507852054801,0.611,0.002
48,1990.1699367123285,0.604,0.005
49,1990.1787556164388,0.583,0.006999999999999999
50,1990.1922810958902,0.628,0.005
51,1990.2083473972607,0.604,0.006999999999999999
52,1990.2138953424658,0.622,0.013999999999999999
53,1990.2550106849317,0.582,0.003
54,1990.2659183561648,0.61,0.002
55,1990.2768454794516,0.607,0.003
56,1990.937870958904,0.557,0.001
57,1990.9511695890408,0.569,0.008
58,1990.9620800000002,0.588,0.008
59,1991.0332687671232,0.499,0.004
60,1991.038743561644,0.484,0.003
61,1991.0610178082186,0.508,0.003
62,1991.088238082192,0.482,0.006
63,1991.1097506849312,0.466,0.003
64,1991.1100950684934,0.454,0.002
65,1991.1345813698633,0.495,0.004
66,1991.1346841095897,0.475,0.003
67,1991.1784931506847,0.541,0.003
68,1991.180939178082,0.521,0.004
69,1991.1839460273975,0.524,0.002
70,1991.1840487671238,0.575,0.003
71,1991.2059912328762,0.574,0.005
72,1991.2195947945206,0.596,0.003
73,1991.2470909589047,0.527,0.002
74,1991.255205479452,0.572,0.005
75,1991.2689397260278,0.561,0.002
76,1991.2853463013694,0.554,0.006
77,1991.921436438356,0.366,0.003
78,1991.9457610958907,0.405,0.009000000000000001
79,1991.986696164384,0.368,0.015
80,1991.9895200000003,0.347,0.013999999999999999
81,1992.0225357923496,0.346,0.004
82,1992.0334224043722,0.359,0.0
83,1992.0357890710377,0.38,0.006
84,1992.0388516393436,0.383,0.005
85,1992.0633513661205,0.375,0.004
86,1992.0659000000005,0.351,0.002
87,1992.0771516393438,0.376,0.004
88,1992.093577322404,0.379,0.002
89,1992.1284816939894,0.359,0.001
90,1992.1288319672128,0.35,0.001
91,1992.1368718579236,0.385,0.004
92,1992.1505983606555,0.389,0.003
93,1992.150956284153,0.385,0.004
94,1992.1916642076503,0.383,0.006999999999999999
95,1992.1917704918035,0.394,0.004
96,1992.1997311475413,0.407,0.001
97,1992.2571549180327,0.438,0.005
98,1992.2790546448089,0.399,0.001
99,1992.6832448087437,0.494,0.01
100,1992.8371800546447,0.458,0.0
101,1992.8833098360656,0.528,0.004
102,1992.908185245902,0.596,0.002
103,1992.9486983606562,0.672,0.009000000000000001
104,1992.9730278688528,0.723,0.008
105,1992.9788439890708,0.723,0.004
106,1993.049586575343,0.822,0.003
107,1993.0577416438355,0.82,0.011000000000000001
108,1993.0663799999995,0.848,0.004
109,1993.085588493151,0.857,0.001
110,1993.0878271232882,0.857,0.002
111,1993.088124109589,0.869,0.002
112,1993.1129863013705,0.86,0.008
113,1993.1343942465758,0.894,0.003
114,1993.1427449315072,0.877,0.004
115,1993.1430243835619,0.88,0.004
116,1993.150760273972,0.897,0.005
117,1993.1562473972608,0.89,0.005
118,1993.1672158904105,0.898,0.004
119,1993.1701504109594,0.915,0.002
120,1993.1781805479452,0.899,0.004
121,1993.1813317808221,0.937,0.004
122,1993.1838736986308,0.906,0.001
123,1993.2004457534254,0.909,0.006
124,1993.2525172602743,0.865,0.001
125,1993.784552328767,0.737,0.002
126,1993.8555619178085,0.652,0.002
127,1993.874729315069,0.623,0.008
128,1993.8993835616436,0.624,0.005
129,1993.910356986302,0.603,0.006
130,1993.9458186301365,0.608,0.004
131,1993.9567821917813,0.593,0.002
132,1993.9624531506854,0.615,0.003
133,1993.9976383561639,0.649,0.005
134,1994.0088008219172,0.66,0.005
135,1994.0305334246577,0.679,0.005
136,1994.0469501369862,0.701,0.006
137,1994.0472931506852,0.696,0.003
138,1994.0772413698626,0.74,0.008
139,1994.0825235616442,0.734,0.003
140,1994.0961389041097,0.732,0.0
141,1994.0962030136984,0.726,0.005
142,1994.1152613698632,0.733,0.002
143,1994.1182991780825,0.716,0.006999999999999999
144,1994.1316490410954,0.704,0.005
145,1994.1562690410954,0.691,0.003
146,1994.172797534246,0.674,0.006999999999999999
147,1994.1730257534243,0.66,0.003
148,1994.1836205479447,0.672,0.004
149,1994.2168956164385,0.71,0.006
150,1994.811816986302,0.404,0.013000000000000001
151,1994.8227643835614,0.403,0.003
152,1994.830942465754,0.415,0.011000000000000001
153,1994.8472482191783,0.402,0.004
154,1994.8582471232874,0.424,0.002
155,1994.8719690410956,0.45,0.001
156,1994.8774671232877,0.45,0.002
157,1994.9075024657539,0.481,0.001
158,1994.910277808219,0.483,0.001
159,1994.9156057534242,0.464,0.004
160,1994.9212435616435,0.474,0.0
161,1994.9349030136987,0.494,0.006
162,1994.9404356164387,0.507,0.004
163,1994.9458542465754,0.508,0.001
164,1994.9701668493155,0.536,0.004
165,1994.9704408219172,0.533,0.004
166,1994.9841336986306,0.552,0.005
167,1994.995052054795,0.562,0.004
168,1995.0196339726026,0.61,0.001
169,1995.0222038356167,0.615,0.003
170,1995.0251756164387,0.616,0.006
171,1995.0497082191775,0.65,0.005
172,1995.074268767123,0.662,0.001
173,1995.0770465753424,0.671,0.002
174,1995.0773268493147,0.653,0.001
175,1995.0824252054797,0.67,0.005
176,1995.0879871232883,0.69,0.006
177,1995.0906608219182,0.673,0.001
178,1995.0934315068494,0.668,0.006999999999999999
179,1995.0934399999996,0.689,0.001
180,1995.09888520548,0.696,0.001
181,1995.1015550684936,0.69,0.003
182,1995.1043219178086,0.693,0.005
183,1995.1070230136984,0.698,0.005
184,1995.1180783561647,0.711,0.003
185,1995.1234575342464,0.704,0.005
186,1995.1289498630133,0.707,0.0
187,1995.1289967123291,0.723,0.001
188,1995.1316583561647,0.705,0.002
189,1995.1318652054792,0.714,0.002
190,1995.13455479452,0.692,0.001
191,1995.1425273972602,0.706,0.009000000000000001
192,1995.1425863013706,0.719,0.002
193,1995.1677397260275,0.791,0.009000000000000001
194,1995.1699010958907,0.74,0.002
195,1995.1863216438355,0.782,0.004
196,1995.186446575342,0.776,0.003
197,1995.1919819178086,0.77,0.001
198,1995.194647945206,0.784,0.002
199,1995.197388493151,0.802,0.012
200,1995.2006000000001,0.801,0.006
201,1995.2249030136988,0.797,0.008
202,1995.2306010958905,0.825,0.001
203,1995.2306715068496,0.819,0.005
204,1995.2332408219181,0.819,0.006
205,1995.2468975342465,0.817,0.004
206,1995.2469868493151,0.789,0.002
207,1995.2552687671227,0.841,0.003
208,1995.2771276712328,0.83,0.006
209,1995.2797756164387,0.78,0.004
210,1995.3126432876716,0.802,0.002
211,1995.819987945205,0.344,0.004
212,1995.8227772602736,0.363,0.003
213,1995.8500800000006,0.396,0.001
214,1995.8554567123292,0.38,0.003
215,1995.9184704109593,0.457,0.01
216,1995.92116,0.443,0.001
217,1995.9404167123291,0.451,0.006999999999999999
218,1995.9675810958909,0.658,0.003
219,1996.0141374316943,0.48,0.002
220,1996.0195956284147,0.483,0.006999999999999999
221,1996.0277702185795,0.489,0.005
222,1996.0385333333327,0.497,0.005
223,1996.052445081967,0.534,0.001
224,1996.0548795081963,0.501,0.003
225,1996.0629945355188,0.528,0.004
226,1996.07680874317,0.507,0.003
227,1996.0931385245908,0.516,0.002
228,1996.0958770491804,0.51,0.005
229,1996.1207959016397,0.528,0.001
230,1996.1231387978141,0.513,0.004
231,1996.1258423497272,0.503,0.002
232,1996.1260024590158,0.525,0.003
233,1996.1285836065576,0.511,0.001
234,1996.12884726776,0.505,0.005
235,1996.150375136612,0.493,0.004
236,1996.1530972677601,0.496,0.003
237,1996.1558213114758,0.503,0.002
238,1996.1721860655734,0.491,0.003
239,1996.1885554644805,0.481,0.004
240,1996.2053486338798,0.497,0.005
241,1996.2654756830605,0.499,0.016
242,1996.7659191256835,0.343,0.001
243,1996.7768398907108,0.352,0.004
244,1996.782274590164,0.346,0.003
245,1996.834108196722,0.397,0.006
246,1996.856005191257,0.41,0.003
247,1996.8614027322399,0.412,0.004
248,1996.8724278688528,0.407,0.005
249,1996.9042754098366,0.416,0.002
250,1996.9186368852465,0.469,0.002
251,1996.9206366120225,0.462,0.002
252,1996.9349442622954,0.474,0.006
253,1996.9460117486344,0.5,0.016
254,1996.9562366120224,0.49,0.002
255,1996.9677038251364,0.497,0.005
256,1996.9861371584702,0.522,0.002
257,1997.0223476712324,0.528,0.003
258,1997.0298635616439,0.511,0.001
259,1997.0415131506854,0.531,0.002
260,1997.0495687671234,0.515,0.004
261,1997.0496841095885,0.503,0.003
262,1997.0497145205482,0.523,0.009000000000000001
263,1997.05228,0.503,0.002
264,1997.066012054794,0.505,0.004
265,1997.0762969863015,0.501,0.002
266,1997.0797178082194,0.505,0.002
267,1997.087357260274,0.499,0.002
268,1997.093368767123,0.519,0.002
269,1997.1064701369862,0.514,0.003
270,1997.1070701369863,0.502,0.002
271,1997.1097931506852,0.53,0.002
272,1997.112544931507,0.522,0.004
273,1997.11799479452,0.514,0.005
274,1997.1210260273979,0.522,0.003
275,1997.1227364383562,0.521,0.001
276,1997.1346720547951,0.576,0.005
277,1997.1391684931511,0.543,0.002
278,1997.142716986302,0.578,0.006999999999999999
279,1997.1453120547947,0.552,0.001
280,1997.1456063013702,0.572,0.006
281,1997.1507857534243,0.548,0.003
282,1997.1638095890414,0.556,0.002
283,1997.1759520547948,0.595,0.006
284,1997.1785400000006,0.587,0.006999999999999999
285,1997.1840479452062,0.592,0.005
286,1997.1868479452057,0.593,0.004
287,1997.2278449315068,0.59,0.002
288,1997.2306679452056,0.607,0.004
289,1997.2368917808217,0.562,0.004
290,1997.2662093150684,0.653,0.002
291,1997.2789605479459,0.667,0.001
292,1997.7865493150682,0.607,0.002
293,1997.838609863014,0.567,0.002
294,1997.8390715068488,0.572,0.002
295,1997.8961605479456,0.507,0.002
296,1997.9260616438362,0.487,0.001
297,1997.9342350684935,0.472,0.002
298,1997.947920547945,0.455,0.001
299,1997.9567802739725,0.445,0.005
300,1997.9779641095893,0.433,0.003
301,1997.98664,0.444,0.01
302,1997.9889435616437,0.44,0.001
303,1998.0189230136982,0.458,0.003
304,1998.0462424657537,0.464,0.001
305,1998.0544482191783,0.468,0.001
306,1998.063212876712,0.467,0.005
307,1998.065979726027,0.465,0.0
308,1998.068877534247,0.457,0.006999999999999999
309,1998.0770142465753,0.466,0.001
310,1998.0791545205482,0.456,0.001
311,1998.0851780821913,0.476,0.001
312,1998.0851953424653,0.461,0.008
313,1998.0855098630136,0.492,0.005
314,1998.090664109589,0.472,0.005
315,1998.09340109589,0.435,0.003
316,1998.095538356164,0.461,0.001
317,1998.1070745205482,0.459,0.002
318,1998.1201616438361,0.464,0.001
319,1998.123751780822,0.444,0.006
320,1998.126194246575,0.471,0.006999999999999999
321,1998.1265391780817,0.506,0.002
322,1998.1391482191787,0.477,0.005
323,1998.1535147945206,0.51,0.006
324,1998.1566216438357,0.554,0.004
325,1998.1637517808222,0.501,0.003
326,1998.164601643835,0.531,0.001
327,1998.1700873972607,0.554,0.002
328,1998.1838287671237,0.548,0.003
329,1998.1884290410958,0.529,0.001
330,1998.2049460273977,0.547,0.0
331,1998.2086663013695,0.587,0.006999999999999999
332,1998.2114402739726,0.583,0.002
333,1998.2305252054796,0.581,0.006999999999999999
334,1998.2386441095884,0.611,0.001
335,1998.2469495890407,0.597,0.004
336,1998.255144657534,0.612,0.005
337,1998.2743441095895,0.635,0.003
338,1998.7153254794518,0.564,0.002
339,1998.7762652054798,0.543,0.002
340,1998.7811435616434,0.526,0.001
341,1998.8085230136992,0.451,0.002
342,1998.8276249315068,0.406,0.001
343,1998.846613424658,0.39,0.003
344,1998.863149315069,0.377,0.002
345,1998.8692832876711,0.376,0.002
346,1998.8719019178084,0.376,0.001
347,1998.8795224657538,0.383,0.002
348,1998.8802772602742,0.383,0.006
349,1998.8828367123292,0.392,0.006
350,1998.8911967123286,0.395,0.001
351,1998.8912208219174,0.383,0.009000000000000001
352,1998.8965690410964,0.391,0.002
353,1998.9096093150686,0.393,0.002
354,1998.9342383561643,0.417,0.002
355,1998.934782465754,0.425,0.006999999999999999
356,1998.937647123288,0.417,0.006
357,1998.945854794521,0.428,0.003
358,1998.9485901369867,0.421,0.001
359,1998.9510819178088,0.42,0.006999999999999999
360,1998.9513254794522,0.449,0.004
361,1998.9540627397266,0.44,0.006999999999999999
362,1998.9594090410956,0.449,0.003
363,1998.9621079452056,0.452,0.006
364,1998.9643405479455,0.453,0.003
365,1998.9703487671236,0.467,0.004
366,1998.9867553424651,0.487,0.003
367,1998.9868405479453,0.48,0.004
368,1998.992178356164,0.456,0.012
369,1998.9923364383565,0.486,0.004
370,1999.0113076712323,0.489,0.006999999999999999
371,1999.0133668493147,0.475,0.003
372,1999.0140010958908,0.474,0.003
373,1999.024932876713,0.48,0.003
374,1999.0251021917807,0.49,0.004
375,1999.041486575342,0.482,0.0
376,1999.0442238356165,0.469,0.003
377,1999.0489860273974,0.467,0.004
378,1999.082399178082,0.463,0.008
379,1999.0824745205473,0.441,0.004
380,1999.0843632876706,0.429,0.002
381,1999.0852002739728,0.438,0.006999999999999999
382,1999.095634794521,0.418,0.001
383,1999.112542465754,0.39,0.003
