time,Mag
1957.9021917808213,8.9
1958.1402739726032,8.7
1958.2580821917813,8.5
1958.962465753424,8.8
1959.0665753424653,8.0
1959.2334246575347,7.9
1959.2745205479457,7.7
1959.7465753424658,9.0
1959.823287671233,8.5
1959.899452054794,8.9
1960.0144808743164,8.3
1960.0743169398913,8.8
1960.1426229508202,8.9
1960.8046448087432,8.3
1960.987158469945,8.3
1961.1128767123294,8.5
1961.2169863013703,8.9
1962.255342465754,8.3
1962.8534246575343,8.7
1963.09095890411,8.5
1963.9898630136981,8.4
1964.1754098360661,9.1
1964.2710382513667,7.9
1965.123561643836,8.2
1965.1569863013694,8.4
1965.2334246575347,9.1
1965.263561643836,7.9
1965.7493150684932,8.6
1965.831232876712,8.0
1965.8342465753424,9.2
1966.0336986301365,9.4
1966.1210958904114,8.8
1966.1780821917807,8.5
1966.1887671232873,8.1
1966.2663013698634,7.9
1966.7082191780821,9.6
1966.962465753424,8.9
1967.02794520548,8.8
1967.0991780821923,9.0
1967.1679452054789,9.0
1967.2717808219184,8.8
1967.9871232876708,8.8
1968.0959016393444,8.6
1968.0961748633886,9.1
1968.1423497267763,8.2
1968.1806010928965,8.4
1968.2409836065578,8.9
1968.2625683060112,7.9
1968.8073770491803,8.8
1968.9953551912563,7.9
1969.1813698630142,8.0
1969.2580821917813,7.7
1970.2334246575347,9.1
1970.3156164383568,9.0
1970.8167123287674,8.8
1970.822191780822,8.6
1970.827671232877,8.9
1970.8304109589044,8.8
1970.8331506849318,8.7
1970.8416438356169,8.6
1970.8441095890414,8.6
1970.8605479452058,8.9
1970.8632876712331,8.8
1970.8800000000006,8.7
1970.8936986301376,8.3
1970.9156164383567,8.5
1970.9287671232876,8.4
1970.9345205479456,8.5
1970.9564383561647,8.6
1970.9808219178083,8.8
1970.9835616438356,8.8
1970.9893150684934,8.7
1971.0191780821917,8.8
1971.0221917808221,8.7
1971.0246575342467,8.8
1971.0380821917806,8.8
1971.040821917808,8.7
1971.0438356164384,9.0
1971.0441095890415,9.2
1971.054794520548,8.8
1971.0602739726028,8.7
1971.068219178082,8.7
1971.0706849315063,8.8
1971.0734246575337,8.7
1971.0791780821914,8.8
1971.0852054794523,9.2
1971.095342465753,8.7
1971.0980821917803,8.9
1971.1063013698624,8.6
1971.1145205479447,8.8
1971.123287671233,8.8
1971.1257534246572,8.8
1971.1290410958907,9.2
1971.1312328767121,8.5
1971.1394520547942,8.6
1971.1473972602735,9.0
1971.1536986301373,9.1
1971.1638356164378,9.1
1971.1942465753423,8.8
1971.1967123287666,8.7
1971.2049315068489,8.7
1971.2079452054793,8.8
1971.20904109589,8.9
