JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2436168.8,8.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436255.7,8.7,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436298.7,8.5,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436555.8,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436593.8,8.0,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436654.7,7.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436669.7,7.7,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436842.0,9.0,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436870.0,8.5,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436897.8,8.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436939.8,8.3,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436961.7,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2436986.7,8.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2437229.0,8.3,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2437295.8,8.3,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2437341.7,8.5,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2437379.7,8.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2437758.7,8.3,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2437977.0,8.7,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438063.7,8.5,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438391.8,8.4,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438459.7,9.1,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438494.7,7.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438806.6,8.2,,,Vis.,KRS,,,,,,,,V,,,,VY CMA,,STD,,,,
2438818.8,8.4,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438846.7,9.1,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2438857.7,7.9,,,Vis.,KRS,,,,,,,,V,,,,VY CMA,,STD,,,,
2439035.0,8.6,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439064.9,8.0,,,Vis.,AC,,,,,,,,V,,,,VY CMA,,STD,,,,
2439066.0,9.2,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439138.8,9.4,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439170.7,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439191.5,8.5,,,Vis.,CMA,,,,,,,,V,,,,VY CMA,,STD,,,,
2439195.4,8.1,,,Vis.,CMA,,,,,,,,V,,,,VY CMA,,STD,,,,
2439223.7,7.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439385.0,9.6,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439477.8,8.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439501.7,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439527.7,9.0,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439552.8,9.0,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439590.7,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439851.8,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439891.6,8.6,,,Vis.,KRS,,,,,,,,V,,,,VY CMA,,STD,,,,
2439891.7,9.1,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439908.6,8.2,,,Vis.,KRS,,,,,,,,V,,,,VY CMA,,STD,,,,
2439922.6,8.4,,,Vis.,KRS,,,,,,,,V,,,,VY CMA,,STD,,,,
2439944.7,8.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2439952.6,7.9,,,Vis.,KRS,,,,,,,,V,,,,VY CMA,,STD,,,,
2440152.0,8.8,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2440220.8,7.9,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2440288.7,8.0,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2440316.7,7.7,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2440672.7,9.1,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2440702.7,9.0,,,Vis.,CR,,,,,,,,V,,,,VY CMA,,STD,,,,
2440885.6,8.8,,,Vis.,LK,,,,,,,,V,,,,VY CMA,,STD,,,,
2440887.6,8.6,,,Vis.,LK,,,,,,,,V,,,,VY CMA,,STD,,,,
2440889.6,8.9,,,Vis.,LK,,,,,,,,V,,,,VY CMA,,STD,,,,
2440890.6,8.8,,,Vis.,LK,,,,,,,,V,,,,VY CMA,,STD,,,,
2440891.6,8.7,,,Vis.,LK,,,,,,,,V,,,,VY CMA,,STD,,,,
