time,Mag
1917.6241095890405,0.9
1917.6323287671228,1.3
1917.6380821917805,1.3
1917.640821917808,1.3
1917.6597260273968,1.3
1917.6734246575338,1.1
1917.6761643835612,1.3
1947.0701369863016,1.2
1947.1361643835621,1.4
1947.1443835616444,1.5
1947.1553424657538,1.5
1947.223835616439,1.5
1947.232054794521,1.2
1947.2495890410962,1.3
1947.286575342466,1.3
1947.4115068493156,1.2
1947.4147945205477,1.2
1947.4156164383567,1.2
1947.4561643835616,1.2
1947.4778082191779,1.1
1947.5183561643842,1.2
1947.5243835616436,1.0
1947.590136986301,0.9
1947.6008219178077,0.8
1947.6205479452055,0.6
1947.6339726027395,0.8
1947.6830136986296,0.9
1947.7052054794517,0.7
1947.7161643835614,0.7
1947.762465753424,0.7
1947.8065753424655,0.9
1948.062021857924,0.8
1948.2642076502736,0.6
1948.2751366120224,0.6
1948.3374316939892,1.0
1948.3683060109286,0.7
1948.369945355191,1.2
1948.4054644808741,1.0
1948.4516393442618,1.2
1948.49043715847,0.7
1948.50956284153,0.7
1948.5232240437158,0.6
1948.5885245901636,0.7
1948.6401639344258,0.7
1948.7224043715844,0.7
1949.1608219178088,0.8
1949.237534246576,0.8
1949.2394520547944,0.6
1949.245753424658,0.5
1949.25095890411,0.7
1949.3252054794525,0.7
1949.3882191780826,0.5
1949.4210958904114,0.6
1949.458904109589,0.7
1949.4890410958903,0.7
1949.541095890411,0.7
1949.5575342465754,0.6
1949.6178082191782,0.6
1949.6284931506848,0.6
1949.6476712328765,0.6
1949.7024657534243,0.8
1949.727123287671,0.7
1949.8065753424655,0.7
1950.1361643835621,0.7
1950.1443835616444,0.9
1950.1471232876718,1.0
1950.245753424658,0.9
1950.281369863014,0.9
1950.2923287671238,0.7
1950.3224657534251,0.7
1950.3794520547945,0.8
1950.3849315068494,0.9
1950.4230136986298,0.8
1950.4394520547942,0.9
1950.458904109589,0.7
1950.4695890410956,0.8
1950.535616438356,0.7
1950.5980821917803,0.7
1950.6065753424655,0.7
1950.6120547945202,0.7
1950.6284931506848,0.7
1950.6780821917807,0.7
1950.6969863013696,0.8
1951.2019178082196,0.8
1951.2046575342472,0.9
1951.3435616438353,0.9
1951.3608219178088,0.7
1951.4178082191781,0.9
1951.4287671232876,0.8
1951.4369863013699,0.9
1951.4808219178083,0.8
1951.4917808219177,0.8
1951.513698630137,0.8
1951.5602739726028,0.8
1951.6093150684928,0.6
1951.6561643835616,0.7
1952.1713114754104,0.8
1952.2560109289623,0.8
1952.2699453551907,0.9
1952.2997267759567,0.7
1952.337978142077,0.8
1952.3926229508202,0.8
1952.4519125683057,0.9
1952.49043715847,0.9
1952.5306010928966,1.0
1952.5311475409833,0.9
1952.5396174863388,0.7
1952.5497267759567,1.0
1952.5560109289618,0.8
1952.5696721311476,0.7
1952.6404371584697,0.9
1952.648633879781,0.7
1952.7087431693988,0.9
1952.7633879781417,0.8
1953.1991780821922,0.9
1953.2953424657528,0.7
1953.3802739726023,0.6
1953.4284931506847,0.8
1953.4646575342467,0.7
1953.513698630137,0.6
1953.5301369863014,0.6
1953.6038356164381,0.7
1953.68602739726,0.6
1953.7463013698627,0.8
1953.7873972602738,0.8
1954.2073972602745,0.7
1954.486301369863,0.8
1954.5079452054792,0.8
1954.5575342465754,0.8
1954.5712328767124,0.7
1954.6504109589039,0.8
1954.6668493150682,0.7
1954.727123287671,0.5
1954.74904109589,0.7
1954.8065753424655,0.7
1955.1389041095895,1.1
1955.237534246576,0.8
1955.3282191780818,0.6
1955.4753424657533,0.6
1955.5438356164384,0.7
1955.5602739726028,0.6
1956.2259562841534,0.6
1956.574863387978,0.7
1957.3465753424657,0.8
1959.645205479452,0.9
1959.7054794520548,1.0
1959.7104109589036,0.9
1959.7929567123292,1.0
1959.8093150684929,1.0
1959.8202739726025,1.0
1959.8394520547943,1.0
1959.8394520547943,1.0
1960.2879781420763,1.0
1960.3100163934428,1.0
1960.3808743169395,1.2
1960.3999336065579,1.0
1960.4081797814213,1.0
1960.422131147541,1.1
1960.457610382514,1.0
1960.4849726775956,1.0
1960.4956418032787,1.0
1960.558743169399,1.1
1960.6240437158467,1.2
1960.6898907103825,1.0
1960.7169398907101,1.0
1960.7199284153,0.8
